"block","plot","experiment","treatment","effect_year","nr_lov","nr_gran","nr_staende_dodved","nr_tall","nr_all_alive","average_dbh_lov","average_dbh_gran","average_dbh_staende_dodved","average_dbh_tall","average_dbh_all_alive","sd_dbh_all_alive","nr_skarm","laser_median","tspr","perc_gran","perc_lov","perc_tall","perc_skarm","perc_dv","BA_gran","BA_lov","BA_tall","BA_dv","BA"
"halqved","plot_1","before","C",2019,18,117,14,23,158,11.3555555555556,11.3316239316239,8.12857142857143,14.7,11.8246835443038,3.85506014904062,976.150317630292,7,5,0.740506329113924,0.113924050632911,0.145569620253165,0.582278481012658,0.0813953488372093,12.5195558404558,1.93422962962965,4.141725,0.770859523809524,18.4100468881857
"halqved","plot_1","after","C",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sodersjon","plot_100","before","TC",2018,8,11,1,48,67,9.0875,22.2909090909091,8,26.2145833333333,23.5253731343284,8.72582970412143,933.708999472453,5.85,4,0.164179104477612,0.119402985074627,0.716417910447761,1.3134328358209,0.0147058823529412,4.55477575757576,0.550551041666667,27.488175173611,0.0533333333333333,30.9005776119404
"stocksatra","plot_104","before","C",2018,4,91,2,11,106,15.55,15.0120879120879,9.55,24.9,16.0584905660377,8.01240547585018,1273.23954473516,5.75,4,0.858490566037736,0.0377358490566038,0.10377358490566,1.13207547169811,0.0185185185185185,17.090011080586,0.806008333333333,5.683425,0.152004166666667,22.7789688679244
"stocksatra","plot_104","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tjaderleksmossen","plot_111","before","TC",2019,16,88,6,0,104,13.68125,14.2375,9.1,0,14.1519230769231,9.20321789195719,1931.07997618166,5.65,3,0.846153846153846,0.153846153846154,0,1.75,0.0545454545454545,14.8651364583333,2.49568802083333,0,0.41405,17.3573336538462
"tjaderleksmossen","plot_113","before","TC",2019,7,64,6,19,90,31.5857142857143,21.1953125,16.3833333333333,39.7105263157895,25.9122222222222,12.8179283482579,106.103295394597,14.75,3,0.711111111111111,0.0777777777777778,0.211111111111111,0.111111111111111,0.0625,23.9595345052083,5.81966785714286,24.9679934210527,1.34206805555555,50.358244537037
"tjaderleksmossen","plot_114","before","TC",2019,30,63,8,2,95,13.7366666666667,20,10.3625,37.65,18.3936842105263,12.5253344162797,2291.83118052329,4.5,4,0.663157894736842,0.315789473684211,0.0210526315789474,2.27368421052632,0.0776699029126214,21,4.7174002777778,2.3625375,0.715876041666667,26.7842698245614
"tjaderleksmossen","plot_115","before","TC",2019,13,59,3,0,72,10.2461538461538,21.8169491525424,7.9,0,19.7277777777778,13.3971746256411,2652.58238486492,5.3,5,0.819444444444444,0.180555555555556,0,3.47222222222222,0.04,23.4023141242938,1.13732307692307,0,0.156025,23.351112962963
"orsjon","plot_116","before","TC",2018,0,52,4,3,55,0,26.4057692307692,12.65,23.8333333333333,26.2654545454545,6.30118208139517,0,13.25,2,0.945454545454545,0,0.0545454545454545,0,0.0677966101694915,30.2148014423076,0,1.42006944444444,0.533408333333333,31.6192296969696
"sodersjon","plot_117","before","TC",2018,0,51,0,0,51,0,27.8313725490196,0,0,27.8313725490196,4.87161124048619,0,14.55,1,1,0,0,0,0,32.9198751633987,0,0,0,32.9198751633987
"stenby","plot_119","before","TC",2018,0,72,2,0,72,0,24.8125,16.9,0,24.8125,7.32195112725148,424.413181578388,7,1,1,0,0,0.555555555555556,0.027027027027027,36.939609375,0,0,0.476016666666667,36.939609375
"soderlejde","plot_12","before","URT",2018,15,13,8,59,87,11.7666666666667,13.4230769230769,8.45,15.871186440678,14.7977011494253,5.04297754910852,403.192522499468,12,4,0.149425287356322,0.172413793103448,0.67816091954023,0.436781609195402,0.0842105263157895,1.9519391025641,1.73068055555557,12.3848158192091,0.476016666666667,15.8754670498085
"soderlejde","plot_12","after","URT",2018,10,13,5,48,71,12.46,13.6153846153846,11.02,16.0958333333333,15.1295774647887,5.16132304096529,381.971863420549,14.6,4,0.183098591549296,0.140845070422535,0.676056338028169,0.507042253521127,0.0657894736842105,2.00826923076923,1.29376333333333,10.3630340277777,0.506001666666667,13.54349342723
"kyrkstigen","plot_122","before","TC",2018,0,2,0,43,45,0,5.7,0,29.0186046511628,27.9822222222222,7.03753859633818,254.647908947033,21.2,2,0.0444444444444444,0,0.955555555555556,0.533333333333333,0,0.05415,0,30.1745124031008,0,29.3626785185185
"stocksatra","plot_123","before","TC",2018,4,4,7,75,83,16.7,17.3,8.18571428571429,18.936,18.7493975903614,4.497543326544,233.427249868113,13.35,3,0.0481927710843374,0.0481927710843374,0.903614457831325,0.265060240963855,0.0777777777777778,0.997633333333334,0.929633333333333,22.410756,0.390867857142858,24.3148437751003
"tjaderleksmossen","plot_124","before","TC",2019,18,2,22,44,64,8.37777777777778,21.2,13.8636363636364,29.1,23.025,10.2788270592654,106.103295394597,24.35,3,0.03125,0.28125,0.6875,0.15625,0.255813953488372,0.749066666666667,1.05280740740741,31.0497,3.52367424242426,28.2747
