plot,include_2018,include_2019
plot_38,N,N
plot_39,N,N
plot_42,N,N
plot_45,N,N
plot_120,N,N
plot_61,N,N
plot_62,N,N
plot_64,N,N
plot_65,N,N
plot_66,N,N
plot_67,N,N
plot_68,N,N
plot_69,N,N
plot_50,N,N
plot_52,N,N
plot_53,N,N
plot_55,N,N
plot_56,N,N
plot_58,N,N
plot_60,N,N
plot_12,N,N
plot_13,N,N
plot_17,N,N
plot_19,N,N
plot_20,N,N
plot_23,N,N
plot_25,N,N
plot_26,N,N
plot_29,N,N
plot_30,N,N
plot_5,N,N
plot_104,N,N
plot_46,N,N
plot_49,N,N
plot_204,Y,Y
plot_205,Y,Y
plot_206,Y,Y
plot_119,Y,Y
plot_121,Y,Y
plot_71,Y,Y
plot_72,Y,Y
plot_83,Y,N
plot_85,Y,N
plot_87,Y,N
plot_88,Y,N
plot_301,Y,Y
plot_118,Y,Y
plot_122,Y,Y
plot_116,Y,Y
plot_73,Y,N
plot_74,Y,N
plot_75,Y,N
plot_79,Y,N
plot_201,Y,Y
plot_202,Y,Y
plot_203,Y,Y
plot_210,Y,Y
plot_211,Y,Y
plot_1,Y,N
plot_31,Y,Y
plot_33,Y,N
plot_36,Y,N
plot_37,Y,N
plot_4,Y,N
plot_6,Y,N
plot_8,Y,N
plot_100,Y,N
plot_117,Y,Y
plot_89,Y,N
plot_90,Y,N
plot_91,Y,N
plot_94,Y,N
plot_95,Y,N
plot_98,Y,N
plot_99,Y,N
plot_123,Y,Y
plot_125,Y,Y
plot_111,Y,Y
plot_113,Y,Y
plot_114,Y,Y
plot_115,Y,Y
plot_124,Y,Y
