"block","plot","observer","visit","sampling_period","Rts_obs","obs_year","dp_march","min_post_sunrise","species","behaviour","sex","height","dist","minutes_to_obs"
"hallsbo","plot_205","ses","second","first",2017-05-01 07:21:00,"2017",31,153,"talge","In breeding habitat: bird seen","Male/Female",10,21.6080840426946,1
"hallsbo","plot_205","ses","second","first",2017-05-01 07:21:00,"2017",31,153,"talge","In breeding habitat: bird seen","Male/Female",10,21.5637677229335,1
"hallsbo","plot_206","ses","second","first",2017-05-01 08:21:00,"2017",31,213,"gronk","Song","Male",10,26.5557581191657,1
"hallsbo","plot_206","ses","second","first",2017-05-01 08:25:00,"2017",31,217,"talge","In breeding habitat: bird seen","Male",6,44.4067337250955,5
"hallsbo","plot_206","ses","second","first",2017-05-01 08:20:00,"2017",31,212,"rodhe","Song","Male",2,34.2341770460708,0
"hallsbo","plot_206","ses","second","first",2017-05-01 08:21:00,"2017",31,213,"stort","In breeding habitat: bird seen","Male/Female",5,45.8426162103685,1
"hallsbo","plot_206","ses","second","first",2017-05-01 08:22:00,"2017",31,214,"talge","Song","Male",NA,45.6722953546978,2
"hallsbo","plot_206","ses","second","first",2017-05-01 08:25:00,"2017",31,217,"kungl","Song","Male",10,40.7623235689532,5
"hallsbo","plot_206","ses","second","first",2017-05-01 08:20:00,"2017",31,212,"tofss","Song","Male",15,40.9022677412728,0
"halqved","plot_1","jkn","fourth","first",2017-06-01 09:06:25,"2017",62,326.416666666667,"talge","Alarm call","Male/Female",NA,20.7747170822846,1.18333333333333
"halqved","plot_1","jkn","fourth","first",2017-06-01 09:06:42,"2017",62,326.7,"rodhe","Song","Male",NA,14.9205916184808,1.46666666666667
"halqved","plot_1","jkn","fourth","first",2017-06-01 09:09:38,"2017",62,329.633333333333,"jarnv","Song","Male",NA,25.6336947008407,4.4
"soderlejde","plot_25","jkn","fourth","first",2017-06-01 05:17:39,"2017",62,97.65,"bofik","Song","Male",NA,38.3929970155878,0.166666666666667
"soderlejde","plot_26","jkn","fourth","first",2017-06-01 07:10:07,"2017",62,210.116666666667,"bofik","Song","Male",NA,36.7723020881988,2.66666666666667
"soderlejde","plot_26","jkn","fourth","first",2017-06-01 07:08:06,"2017",62,208.1,"korp","Alarm call","Male/Female",NA,37.9473168046047,0.65
"soderlejde","plot_30","jkn","fourth","first",2017-06-01 07:50:36,"2017",62,250.6,"svars","Song","Male",NA,36.3532176658265,4.15
"soderlejde","plot_30","jkn","fourth","first",2017-06-01 07:51:12,"2017",62,251.2,"talge","Alarm call","Male/Female",NA,26.0418293691665,4.75
"soderlejde","plot_30","jkn","fourth","first",2017-06-01 07:46:41,"2017",62,246.683333333333,"kungl","Song","Male",NA,18.4395405463162,0.233333333333333
"soderlejde","plot_30","jkn","fourth","first",2017-06-01 07:46:47,"2017",62,246.783333333333,"trake","Alarm call","Male/Female",NA,31.9781928106825,0.333333333333333
"soderlejde","plot_30","jkn","fourth","first",2017-06-01 07:47:27,"2017",62,247.45,"trake","Nest with eggs","Male/Female",3,31.8364459289269,1
"soderlejde","plot_31","jkn","fourth","first",2017-06-01 08:21:03,"2017",62,281.05,"talge","Song","Male",NA,27.2501521876866,1.58333333333333
"soderlejde","plot_31","jkn","fourth","first",2017-06-01 08:21:19,"2017",62,281.316666666667,"talge","In breeding habitat: bird seen","Male/Female",1,23.3301683382538,1.85
"soderlejde","plot_31","jkn","fourth","first",2017-06-01 08:21:38,"2017",62,281.633333333333,"talge","Song","Male",NA,23.8153725992378,2.16666666666667
"halqved","plot_37","jkn","fourth","first",2017-06-01 04:39:43,"2017",62,59.7166666666667,"rodhe","Song","Male",NA,38.5957379803701,4.1
"halqved","plot_37","jkn","fourth","first",2017-06-01 04:35:54,"2017",62,55.9,"svara","Song","Male",NA,35.2280666146588,0.283333333333333
"halqved","plot_6","jkn","fourth","first",2017-06-01 03:28:01,"2017",62,-11.9833333333333,"rodhe","Song","Male",NA,32.0030553069047,0.283333333333333
"halqved","plot_8","jkn","fourth","first",2017-06-01 04:02:50,"2017",62,22.8333333333333,"blams","Alarm call","Male/Female",NA,14.3963633688883,0.15
"halqved","plot_8","jkn","fourth","first",2017-06-01 04:03:21,"2017",62,23.35,"kungl","Song","Male",NA,20.9744466106843,0.666666666666667
"halqved","plot_8","jkn","fourth","first",2017-06-01 04:04:10,"2017",62,24.1666666666667,"svara","Song","Male",NA,47.9403548097283,1.48333333333333
"halqved","plot_8","jkn","fourth","first",2017-06-01 04:06:56,"2017",62,26.9333333333333,"svara","Song","Male",NA,7.55064407802825,4.25
"stenby","plot_119","jkn","fifth","first",2018-06-01 08:46:57,"2018",62,306.95,"koltt","Song","Male",NA,45.5161548445589,2.15
"stenby","plot_119","jkn","fifth","first",2018-06-01 08:45:05,"2018",62,305.083333333333,"trake","In breeding habitat: bird seen","Male/Female",1,7.10569989579369,0.283333333333333
"stenby","plot_119","jkn","fifth","first",2018-06-01 08:48:35,"2018",62,308.583333333333,"rodhe","Song","Male",NA,37.1445608400836,3.78333333333333
"halsingdal","plot_120","jkn","fifth","first",2018-06-01 06:21:02,"2018",62,161.033333333333,"talge","Alarm call","Male/Female",NA,11.9990144720899,0.15
"halsingdal","plot_120","jkn","fifth","first",2018-06-01 06:22:49,"2018",62,162.816666666667,"talge","Alarm call","Male/Female",NA,27.7300349136694,1.93333333333333
"halsingdal","plot_121","jkn","fifth","first",2018-06-01 04:18:40,"2018",62,38.6666666666667,"svare","In breeding habitat: bird seen","Female",2,19.9629305122494,4.66666666666667
"halsingdal","plot_121","jkn","fifth","first",2018-06-01 04:14:29,"2018",62,34.4833333333333,"talge","Alarm call","Male/Female",NA,23.7889587204631,0.483333333333333
"halsingdal","plot_121","jkn","fifth","first",2018-06-01 04:14:06,"2018",62,34.1,"svare","Song","Male",2,23.5290930486309,0.1
"halsingdal","plot_61","jkn","fifth","first",2018-06-01 04:34:10,"2018",62,54.1666666666667,"rodhe","Alarm call","Male/Female",NA,6.17409240582162,0.183333333333333
"halsingdal","plot_61","jkn","fifth","first",2018-06-01 04:34:21,"2018",62,54.35,"talge","Alarm call","Male/Female",NA,21.1403242395706,0.366666666666667
"halsingdal","plot_61","jkn","fifth","first",2018-06-01 04:34:33,"2018",62,54.55,"blams","Alarm call","Male/Female",NA,20.1190321759856,0.566666666666667
"halsingdal","plot_61","jkn","fifth","first",2018-06-01 04:37:37,"2018",62,57.6166666666667,"kungl","Song","Male",NA,28.6876853691296,3.63333333333333
"halsingdal","plot_62","jkn","fifth","first",2018-06-01 04:55:58,"2018",62,75.9666666666667,"talge","Alarm call","Male/Female",NA,24.9398919404193,2.96666666666667
"halsingdal","plot_62","jkn","fifth","first",2018-06-01 04:54:34,"2018",62,74.5666666666667,"bofik","Song","Male",NA,16.8179966393271,1.56666666666667
"halsingdal","plot_62","jkn","fifth","first",2018-06-01 04:54:18,"2018",62,74.3,"gardg","Alarm call","Male/Female",NA,47.2327196581142,1.3
"halsingdal","plot_62","jkn","fifth","first",2018-06-01 04:53:13,"2018",62,73.2166666666667,"koltt","Alarm call","Male/Female",NA,30.7987150805106,0.216666666666667
"halsingdal","plot_62","jkn","fifth","first",2018-06-01 04:53:48,"2018",62,73.8,"bofik","Song","Male",NA,35.7612608329066,0.8
"halsingdal","plot_64","jkn","fifth","first",2018-06-01 07:00:59,"2018",62,200.983333333333,"bofik","Song","Male",NA,43.6178079009227,1.83333333333333
"halsingdal","plot_64","jkn","fifth","first",2018-06-01 06:59:14,"2018",62,199.233333333333,"trake","Song","Male",NA,37.0906502047244,0.0833333333333333
"halsingdal","plot_68","jkn","fifth","first",2018-06-01 05:35:49,"2018",62,115.816666666667,"svars","Song","Male",NA,35.431642368936,1.88333333333333
"halsingdal","plot_68","jkn","fifth","first",2018-06-01 05:34:03,"2018",62,114.05,"gardg","Song","Male",NA,20.7118574737764,0.116666666666667
"halsingdal","plot_68","jkn","fifth","first",2018-06-01 05:34:27,"2018",62,114.45,"grafe","Song","Male",NA,21.7085632552795,0.516666666666667
"halsingdal","plot_68","jkn","fifth","first",2018-06-01 05:34:59,"2018",62,114.983333333333,"bofik","Song","Male",NA,49.4056868025312,1.05
"halsingdal","plot_68","jkn","fifth","first",2018-06-01 05:38:05,"2018",62,118.083333333333,"talla","Alarm call","Male/Female",7,28.8876055707228,4.15
"halsingdal","plot_69","jkn","fifth","first",2018-06-01 05:58:06,"2018",62,138.1,"gardg","Song","Male",NA,40.6123902751286,0.483333333333333
"halsingdal","plot_69","jkn","fifth","first",2018-06-01 06:00:01,"2018",62,140.016666666667,"blams","In breeding habitat: bird seen","Male/Female",1,24.0812308051007,2.4
"halsingdal","plot_69","jkn","fifth","first",2018-06-01 06:00:39,"2018",62,140.65,"talge","Alarm call","Male/Female",NA,22.2517655230086,3.03333333333333
"stenby","plot_71","jkn","fifth","first",2018-06-01 09:03:54,"2018",62,323.9,"bofik","Alarm call","Male/Female",NA,36.9898149254093,0.1
"stenby","plot_71","jkn","fifth","first",2018-06-01 09:05:45,"2018",62,325.75,"talge","Alarm call","Male",13,4.54479567890215,1.95
"stenby","plot_71","jkn","fifth","first",2018-06-01 09:06:39,"2018",62,326.65,"blams","Alarm call","Male/Female",NA,35.1709154341058,2.85
"stenby","plot_72","jkn","fifth","first",2018-06-01 08:25:08,"2018",62,285.133333333333,"svare","Song","Male",NA,21.9139887093209,0.0833333333333333
"sodersjon","plot_100","jkn","second","first",2017-05-02 05:11:39,"2017",32,26.65,"talge","Song","Male",NA,28.6581483395767,1.35
"sodersjon","plot_100","jkn","second","first",2017-05-02 05:14:29,"2017",32,29.4833333333333,"rodhe","Alarm call","Male/Female",NA,21.0525883453036,4.18333333333333
"sodersjon","plot_117","jkn","second","first",2017-05-02 10:05:09,"2017",32,320.15,"rodhe","Song","Male",NA,45.967146399203,1.68333333333333
"sodersjon","plot_117","jkn","second","first",2017-05-02 10:04:39,"2017",32,319.65,"bofik","Song","Male",NA,7.68493968006369,1.18333333333333
