"block","observer","plot","visit","sampling_period","obs_year","dp_march","min_post_sunrise","species"
"hallsbo","ses","plot_205","second","first","2017",31,153,"talge"
"hallsbo","ses","plot_206","second","first","2017",31,213,"gronk"
"hallsbo","ses","plot_206","second","first","2017",31,217,"talge"
"hallsbo","ses","plot_206","second","first","2017",31,212,"rodhe"
"hallsbo","ses","plot_206","second","first","2017",31,213,"stort"
"hallsbo","ses","plot_206","second","first","2017",31,217,"kungl"
"hallsbo","ses","plot_206","second","first","2017",31,212,"tofss"
"halqved","jkn","plot_1","fourth","first","2017",62,326.416666666667,"talge"
"halqved","jkn","plot_1","fourth","first","2017",62,326.7,"rodhe"
"halqved","jkn","plot_1","fourth","first","2017",62,329.633333333333,"jarnv"
"soderlejde","jkn","plot_23","fourth","first","2017",62,165.866666666667,"no_obs"
"soderlejde","jkn","plot_25","fourth","first","2017",62,97.65,"bofik"
"soderlejde","jkn","plot_26","fourth","first","2017",62,210.116666666667,"bofik"
"soderlejde","jkn","plot_26","fourth","first","2017",62,208.1,"korp"
"soderlejde","jkn","plot_29","fourth","first","2017",62,130.316666666667,"no_obs"
"soderlejde","jkn","plot_30","fourth","first","2017",62,250.6,"svars"
"soderlejde","jkn","plot_30","fourth","first","2017",62,251.2,"talge"
"soderlejde","jkn","plot_30","fourth","first","2017",62,246.683333333333,"kungl"
"soderlejde","jkn","plot_30","fourth","first","2017",62,246.783333333333,"trake"
"soderlejde","jkn","plot_31","fourth","first","2017",62,281.05,"talge"
"halqved","jkn","plot_37","fourth","first","2017",62,59.7166666666667,"rodhe"
"halqved","jkn","plot_37","fourth","first","2017",62,55.9,"svara"
"halqved","jkn","plot_6","fourth","first","2017",62,-11.9833333333333,"rodhe"
"halqved","jkn","plot_8","fourth","first","2017",62,22.8333333333333,"blams"
"halqved","jkn","plot_8","fourth","first","2017",62,23.35,"kungl"
"halqved","jkn","plot_8","fourth","first","2017",62,24.1666666666667,"svara"
"stenby","jkn","plot_119","fifth","first","2018",62,306.95,"koltt"
"stenby","jkn","plot_119","fifth","first","2018",62,305.083333333333,"trake"
"stenby","jkn","plot_119","fifth","first","2018",62,308.583333333333,"rodhe"
"halsingdal","jkn","plot_120","fifth","first","2018",62,161.033333333333,"talge"
"halsingdal","jkn","plot_121","fifth","first","2018",62,38.6666666666667,"svare"
"halsingdal","jkn","plot_121","fifth","first","2018",62,34.4833333333333,"talge"
"halsingdal","jkn","plot_61","fifth","first","2018",62,54.1666666666667,"rodhe"
"halsingdal","jkn","plot_61","fifth","first","2018",62,54.35,"talge"
"halsingdal","jkn","plot_61","fifth","first","2018",62,54.55,"blams"
"halsingdal","jkn","plot_61","fifth","first","2018",62,57.6166666666667,"kungl"
"halsingdal","jkn","plot_62","fifth","first","2018",62,75.9666666666667,"talge"
"halsingdal","jkn","plot_62","fifth","first","2018",62,74.5666666666667,"bofik"
